panel_id,person_name,season_id,role
PN0042,Michelle Visage,US12,MAIN_JUDGE
PN0043,Carson Kressley,US12,ROTATING_JUDGE
PN0044,Ross Mathews,US12,ROTATING_JUDGE
PN0045,RuPaul,US13,HOST
PN0046,Michelle Visage,US13,MAIN_JUDGE
PN0047,Carson Kressley,US13,ROTATING_JUDGE
PN0048,Ross Mathews,US13,ROTATING_JUDGE
PN0049,RuPaul,US14,HOST
PN0050,Michelle Visage,US14,MAIN_JUDGE
PN0051,Carson Kressley,US14,ROTATING_JUDGE
PN0052,Ross Mathews,US14,ROTATING_JUDGE
PN0053,RuPaul,US15,HOST
PN0054,Michelle Visage,US15,MAIN_JUDGE
PN0055,Carson Kressley,US15,ROTATING_JUDGE
PN0056,Ross Mathews,US15,ROTATING_JUDGE
PN0057,Ts Madison,US15,ROTATING_JUDGE
PN0058,RuPaul,US16,HOST
PN0059,Michelle Visage,US16,MAIN_JUDGE
PN0060,Carson Kressley,US16,ROTATING_JUDGE
PN0061,Ross Mathews,US16,ROTATING_JUDGE
PN0062,Ts Madison,US16,ROTATING_JUDGE
PN0063,RuPaul,US17,HOST
PN0064,Michelle Visage,US17,MAIN_JUDGE
PN0065,Carson Kressley,US17,ROTATING_JUDGE
PN0066,Law Roach,US17,ROTATING_JUDGE
PN0067,Ross Mathews,US17,ROTATING_JUDGE
PN0068,Ts Madison,US17,ROTATING_JUDGE
PN0069,RuPaul,US18,HOST
PN0070,Michelle Visage,US18,MAIN_JUDGE
PN0071,Carson Kressley,US18,ROTATING_JUDGE
PN0072,Law Roach,US18,ROTATING_JUDGE
PN0073,Ross Mathews,US18,ROTATING_JUDGE
PN0074,Ts Madison,US18,ROTATING_JUDGE
PN0075,RuPaul,UK01,HOST
PN0076,RuPaul,UK01,MAIN_JUDGE
PN0077,Michelle Visage,UK01,MAIN_JUDGE
PN0078,Alan Carr,UK01,ROTATING_JUDGE
PN0079,Graham Norton,UK01,ROTATING_JUDGE
PN0080,RuPaul,UK02,HOST
PN0081,RuPaul,UK02,MAIN_JUDGE
PN0082,Michelle Visage,UK02,MAIN_JUDGE
PN0083,Alan Carr,UK02,ROTATING_JUDGE
PN0084,Graham Norton,UK02,ROTATING_JUDGE
PN0085,RuPaul,UK03,HOST
PN0086,RuPaul,UK03,MAIN_JUDGE
PN0087,Michelle Visage,UK03,MAIN_JUDGE
PN0088,Alan Carr,UK03,ROTATING_JUDGE
PN0089,Graham Norton,UK03,ROTATING_JUDGE
PN0090,RuPaul,UK04,HOST
PN0091,RuPaul,UK04,MAIN_JUDGE
PN0092,Michelle Visage,UK04,MAIN_JUDGE
PN0093,Alan Carr,UK04,ROTATING_JUDGE
PN0094,Graham Norton,UK04,ROTATING_JUDGE
PN0095,RuPaul,UK05,HOST
PN0096,RuPaul,UK05,MAIN_JUDGE
PN0097,Michelle Visage,UK05,MAIN_JUDGE
PN0098,Alan Carr,UK05,ROTATING_JUDGE
PN0099,Graham Norton,UK05,ROTATING_JUDGE
PN0100,RuPaul,UK06,HOST
PN0101,RuPaul,UK06,MAIN_JUDGE
PN0102,Michelle Visage,UK06,MAIN_JUDGE
PN0103,Alan Carr,UK06,ROTATING_JUDGE
PN0104,Graham Norton,UK06,ROTATING_JUDGE
PN0105,RuPaul,UK07,HOST
PN0106,RuPaul,UK07,MAIN_JUDGE
PN0107,Michelle Visage,UK07,MAIN_JUDGE
PN0108,Alan Carr,UK07,ROTATING_JUDGE
PN0109,Graham Norton,UK07,ROTATING_JUDGE
PN0110,Brooke Lynn Hytes,CA01,HOST
PN0111,Brooke Lynn Hytes,CA01,MAIN_JUDGE
PN0112,Jeffrey Bowyer-Chapman,CA01,MAIN_JUDGE
PN0113,Stacey McKenzie,CA01,MAIN_JUDGE
PN0114,Traci Melchor,CA01,ROTATING_JUDGE
PN0115,Brooke Lynn Hytes,CA02,HOST
PN0116,Brooke Lynn Hytes,CA02,MAIN_JUDGE
PN0117,Brad Goreski,CA02,MAIN_JUDGE
PN0118,Traci Melchor,CA02,ROTATING_JUDGE
PN0119,Amanda Brugel,CA02,ROTATING_JUDGE
PN0120,Brooke Lynn Hytes,CA03,HOST
PN0121,Brooke Lynn Hytes,CA03,MAIN_JUDGE
PN0122,Brad Goreski,CA03,MAIN_JUDGE
PN0123,Traci Melchor,CA03,MAIN_JUDGE
PN0124,Brooke Lynn Hytes,CA04,HOST
PN0125,Brooke Lynn Hytes,CA04,MAIN_JUDGE
PN0126,Brad Goreski,CA04,MAIN_JUDGE
PN0127,Traci Melchor,CA04,MAIN_JUDGE
PN0128,Brooke Lynn Hytes,CA05,HOST
PN0129,Brooke Lynn Hytes,CA05,MAIN_JUDGE
PN0130,Brad Goreski,CA05,MAIN_JUDGE
PN0131,Traci Melchor,CA05,MAIN_JUDGE
PN0132,Brooke Lynn Hytes,CA06,HOST
PN0133,Brooke Lynn Hytes,CA06,MAIN_JUDGE
PN0134,Traci Melchor,CA06,MAIN_JUDGE
PN0135,Carson Kressley,CA06,ROTATING_JUDGE
PN0136,Hollywood Jade,CA06,ROTATING_JUDGE
PN0137,Sarain Fox,CA06,ROTATING_JUDGE
PN0138,Brooke Lynn Hytes,CW01,HOST
PN0139,Brad Goreski,CW01,MAIN_JUDGE
PN0140,Brooke Lynn Hytes,CW01,MAIN_JUDGE
PN0141,Traci Melchor,CW01,MAIN_JUDGE
PN0142,Brooke Lynn Hytes,CW02,HOST
PN0143,Brooke Lynn Hytes,CW02,MAIN_JUDGE
PN0144,Brad Goreski,CW02,MAIN_JUDGE
PN0145,Traci Melchor,CW02,MAIN_JUDGE
PN0146,RuPaul,GA01,HOST
PN0147,RuPaul,GA01,MAIN_JUDGE
PN0148,Michelle Visage,GA01,MAIN_JUDGE
PN0149,Jamal Sims,GA01,MAIN_JUDGE
PN0150,RuPaul,UW01,HOST
PN0151,RuPaul,UW01,MAIN_JUDGE
PN0152,Michelle Visage,UW01,MAIN_JUDGE
PN0153,Alan Carr,UW01,ROTATING_JUDGE
PN0154,Graham Norton,UW01,ROTATING_JUDGE
PN0155,RuPaul,UW02,HOST
PN0156,RuPaul,UW02,MAIN_JUDGE
PN0157,Michelle Visage,UW02,MAIN_JUDGE
PN0158,Alan Carr,UW02,ROTATING_JUDGE
PN0159,Graham Norton,UW02,ROTATING_JUDGE
PN0160,RuPaul,UW03,HOST
PN0161,RuPaul,UW03,MAIN_JUDGE
PN0162,Michelle Visage,UW03,MAIN_JUDGE
PN0163,Alan Carr,UW03,ROTATING_JUDGE
PN0164,Graham Norton,UW03,ROTATING_JUDGE
