appearance_id,person_name,season_id,episode_id,appearance_type,role_detail,is_drag_race_alum,alum_queen_id,notes
AP0143,John Salley,US04,US04E02,GUEST_JUDGE,former NBA player/TV host,No,,
AP0144,Max Mutchnick,US04,US04E04,GUEST_JUDGE,TV producer (Will & Grace),No,,
AP0145,Nicole Sullivan,US04,US04E04,GUEST_JUDGE,actress/comedian,No,,
AP0146,Dan Savage,US04,US04E09,GUEST_JUDGE,author/activist,No,,
AP0147,Jeffrey Moran,US04,US04E09,GUEST_JUDGE,Absolut Vodka exec,No,,
AP0148,Candis Cayne,US04,US04E14,MAINSTAGE_GUEST,finale Glamazon video special guest,No,,
AP0149,Mathu Andersen,US04,US04E14,MAINSTAGE_GUEST,finale Glamazon video special guest,No,,
AP0150,Raja,US04,US04E14,MAINSTAGE_GUEST,S3 winner - finale guest,Yes,Q0022,
AP0151,Tyra Sanchez,US04,US04E14,MAINSTAGE_GUEST,S2 winner - finale guest,Yes,Q0010,
AP0152,Piyah Martell,US04,,WERKROOM_GUEST,mini-challenge guest,No,,S4 butterfly-hat mini; exact ep TBD
AP0153,Camille Grammer,US05,US05E01,GUEST_JUDGE,TV personality,No,,
AP0154,Mike Ruiz,US05,US05E01,WERKROOM_GUEST,photographer (mini-challenge),No,,
AP0155,Kristen Johnston,US05,US05E02,GUEST_JUDGE,actress,No,,
AP0156,Juliette Lewis,US05,US05E02,GUEST_JUDGE,actress,No,,
AP0157,Coco Austin,US05,US05E03,GUEST_JUDGE,TV personality/model,No,,
AP0158,Paulina Porizkova,US05,US05E03,GUEST_JUDGE,model,No,,
AP0159,Chaz Bono,US05,US05E04,GUEST_JUDGE,writer/advocate,No,,
AP0160,Travis Wall,US05,US05E04,GUEST_JUDGE,choreographer,No,,
AP0161,Nick Lazzarini,US05,US05E04,WERKROOM_GUEST,guest choreographer,No,,
AP0162,La Toya Jackson,US05,US05E06,GUEST_JUDGE,singer,No,,
AP0163,Anita Pointer,US05,US05E06,GUEST_JUDGE,singer (The Pointer Sisters),No,,
AP0164,Ruth Pointer,US05,US05E06,GUEST_JUDGE,singer (The Pointer Sisters),No,,
AP0165,Aubrey O'Day,US05,US05E08,GUEST_JUDGE,singer,No,,
AP0166,Joan Van Ark,US05,US05E08,GUEST_JUDGE,actress,No,,
AP0167,Julie Brown,US05,US05E09,GUEST_JUDGE,comedian,No,,S5 Snatch Game ep
AP0168,Downtown Julie Brown,US05,US05E09,GUEST_JUDGE,TV personality,No,,S5 Snatch Game ep
AP0169,Gloria Allred,US05,US05E14,MAINSTAGE_GUEST,attorney - finale courtroom,No,,S5 finale
AP0170,Candis Cayne,US05,US05E14,MAINSTAGE_GUEST,actress - finale guest,No,,S5 finale
AP0171,Mathu Andersen,US05,US05E14,MAINSTAGE_GUEST,finale guest,No,,S5 finale
AP0172,Adam Lambert,US06,US06E01,GUEST_JUDGE,singer,No,,
AP0173,Mike Ruiz,US06,US06E01,WERKROOM_GUEST,photographer,No,,
AP0174,Khloé Kardashian,US06,US06E02,GUEST_JUDGE,TV personality,No,,
AP0175,Mike Ruiz,US06,US06E02,WERKROOM_GUEST,photographer (mini-challenge),No,,
AP0176,Linda Blair,US06,US06E03,GUEST_JUDGE,actress,No,,
AP0177,Lena Headey,US06,US06E03,GUEST_JUDGE,actress,No,,
AP0178,Sheryl Lee Ralph,US06,US06E04,GUEST_JUDGE,actress/singer,No,,
AP0179,Lucian Piane,US06,US06E04,GUEST_JUDGE,composer,No,,
AP0180,Our Lady J,US06,US06E04,WERKROOM_GUEST,guest pianist,No,,
AP0181,Jaime Pressly,US06,US06E08,GUEST_JUDGE,actress,No,,
AP0182,Bruce Vilanch,US06,US06E08,GUEST_JUDGE,comedian/writer,No,,
AP0183,Neil Patrick Harris,US06,US06E10,GUEST_JUDGE,actor,No,,
AP0184,David Burtka,US06,US06E10,GUEST_JUDGE,actor/chef,No,,
AP0185,Khloé Kardashian,US06,US06E11,GUEST_JUDGE,TV personality,No,,
AP0186,Bob Mackie,US06,US06E11,GUEST_JUDGE,fashion designer,No,,
AP0187,Mathu Andersen,US06,US06E12,GUEST_JUDGE,artist (also directed sketches),No,,
AP0188,Jamal Sims,US06,US06E12,WERKROOM_GUEST,choreographer,No,,
AP0189,Chaz Bono,US06,US06E09,GUEST_JUDGE,writer/advocate,No,,S6 talk-show/animal-runway ep
AP0190,Georgia Holt,US06,US06E09,GUEST_JUDGE,singer/actress (Cher's mother),No,,S6 talk-show ep
AP0191,Paula Abdul,US06,US06E09,GUEST_JUDGE,singer/choreographer,No,,S6 talk-show ep
AP0192,Alaska,US07,US07E01,MAINSTAGE_GUEST,S5 runner-up guest,Yes,Q0048,
AP0193,Mathu Andersen,US07,US07E01,WERKROOM_GUEST,photographer/makeup artist,No,,
AP0194,Magnus Hastings,US07,US07E01,WERKROOM_GUEST,photographer,No,,
AP0195,Olivia Newton-John,US07,US07E02,GUEST_JUDGE,singer/actress,No,,
AP0196,Jordin Sparks,US07,US07E02,GUEST_JUDGE,singer,No,,
AP0197,Moby,US07,US07E02,WERKROOM_GUEST,musician,No,,
AP0198,Jamal Sims,US07,US07E02,WERKROOM_GUEST,choreographer,No,,
AP0199,Ariana Grande,US07,US07E03,GUEST_JUDGE,singer/actress,No,,
AP0200,Merle Ginsberg,US07,US07E03,GUEST_JUDGE,journalist (former panelist),No,,
AP0201,Jessica Alba,US07,US07E04,GUEST_JUDGE,actress,No,,
AP0202,Lucian Piane,US07,US07E04,GUEST_JUDGE,composer,No,,
AP0203,Kathy Griffin,US07,US07E05,GUEST_JUDGE,comedian,No,,
AP0204,Isaac Mizrahi,US07,US07E05,GUEST_JUDGE,fashion designer,No,,
AP0205,Tamar Braxton,US07,US07E06,GUEST_JUDGE,singer/TV personality,No,,
AP0206,Michael Urie,US07,US07E06,GUEST_JUDGE,actor,No,,
AP0207,LeAnn Rimes,US07,US07E07,GUEST_JUDGE,singer,No,,
AP0208,Nelsan Ellis,US07,US07E07,GUEST_JUDGE,actor,No,,
AP0209,Bianca Del Rio,US07,US07E07,MAINSTAGE_GUEST,S6 winner guest,Yes,Q0061,
AP0210,Latrice Royale,US07,US07E08,MAINSTAGE_GUEST,S4 Miss C / AS1 - guest,Yes,Q0037,
AP0211,Demi Lovato,US07,US07E09,GUEST_JUDGE,singer/actress,No,,
AP0212,John Waters,US07,US07E09,GUEST_JUDGE,director,No,,
AP0213,Our Lady J,US07,US07E09,WERKROOM_GUEST,musician,No,,
AP0214,Lucian Piane,US07,US07E09,WERKROOM_GUEST,composer,No,,
AP0215,Alyssa Milano,US07,US07E11,GUEST_JUDGE,actress,No,,S7 guest judge
AP0216,Rachael Harris,US07,,GUEST_JUDGE,actress/comedian,No,,S7 guest judge; exact ep TBD
AP0217,Santino Rice,US07,,GUEST_JUDGE,fashion designer (former panelist),No,,S7 guest judge; exact ep TBD
AP0218,Rebecca Romijn,US07,US07E12,GUEST_JUDGE,actress,No,,S7 guest judge
AP0219,Nicole Richie,US08,US08E01,GUEST_JUDGE,TV personality,No,,
AP0220,Mathu Andersen,US08,US08E01,WERKROOM_GUEST,photographer,No,,
AP0221,BeBe Zahara Benet,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0001,
AP0222,Tyra Sanchez,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0010,
AP0223,Raja,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0022,
AP0224,Sharon Needles,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0034,
AP0225,Chad Michaels,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0035,
AP0226,Jinkx Monsoon,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0047,
AP0227,Violet Chachki,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0075,
AP0228,Morgan McMichaels,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0017,
AP0229,Latrice Royale,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0037,
AP0230,Raven,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0011,
AP0231,Shannel,US08,US08E01,MAINSTAGE_GUEST,former winner/contestant - 100th ep guest,Yes,Q0004,
AP0232,Ester Dean,US08,US08E02,GUEST_JUDGE,singer-songwriter,No,,
AP0233,Lucian Piane,US08,US08E02,GUEST_JUDGE,composer,No,,
AP0234,AB Soto,US08,US08E02,WERKROOM_GUEST,performer,No,,
AP0235,Jamal Sims,US08,US08E02,WERKROOM_GUEST,choreographer,No,,
AP0236,Faith Evans,US08,US08E03,GUEST_JUDGE,singer,No,,
AP0237,Tasha Smith,US08,US08E03,GUEST_JUDGE,actress,No,,
AP0238,Todrick Hall,US08,US08E06,GUEST_JUDGE,singer/choreographer,No,,
AP0239,Marc Jacobs,US08,US08E06,GUEST_JUDGE,fashion designer,No,,
AP0240,Christy McGinity Gibel,US08,US08E06,WERKROOM_GUEST,Little Women: LA cast,No,,
AP0241,Terra Jolé,US08,US08E06,WERKROOM_GUEST,Little Women: LA cast,No,,
AP0242,Thomas Roberts,US08,US08E07,GUEST_JUDGE,news anchor,No,,
AP0243,Vivica A. Fox,US08,US08E07,GUEST_JUDGE,actress,No,,
AP0244,Andrew Christian,US08,US08E07,WERKROOM_GUEST,designer (mini-challenge),No,,
AP0245,Amy Sedaris,US08,US08E08,GUEST_JUDGE,actress/comedian,No,,
AP0246,David Sedaris,US08,US08E08,GUEST_JUDGE,author,No,,
AP0247,Lady Gaga,US09,US09E01,GUEST_JUDGE,singer (entered disguised as 'Ronnie'),No,,
AP0248,Lisa Kudrow,US09,US09E02,GUEST_JUDGE,actress/comedian,No,,
AP0249,Kate Pierson,US09,US09E02,MAINSTAGE_GUEST,singer (The B-52s),No,,
AP0250,Fred Schneider,US09,US09E02,MAINSTAGE_GUEST,singer (The B-52s),No,,
AP0251,Cindy Wilson,US09,US09E02,MAINSTAGE_GUEST,singer (The B-52s),No,,
AP0252,Todrick Hall,US09,US09E05,GUEST_JUDGE,singer/choreographer,No,,
AP0253,Meghan Trainor,US09,US09E05,GUEST_JUDGE,singer,No,,
AP0254,Chester Lockhart,US09,US09E05,WERKROOM_GUEST,assistant choreographer,No,,
AP0255,Tamar Braxton,US09,US09E08,GUEST_JUDGE,singer,No,,
AP0256,Fortune Feimster,US09,US09E08,GUEST_JUDGE,comedian,No,,
AP0257,Lisa Robertson,US09,,GUEST_JUDGE,TV personality/former QVC host,No,,S9 guest judge; exact ep TBD
AP0258,Noah Galvin,US09,,GUEST_JUDGE,actor,No,,S9 guest judge; exact ep TBD
AP0259,Kesha,US09,,GUEST_JUDGE,singer-songwriter,No,,S9 guest judge; exact ep TBD
AP0260,Zaldy,US09,,GUEST_JUDGE,fashion designer,No,,S9 guest judge; exact ep TBD
AP0261,Andie MacDowell,US09,,GUEST_JUDGE,actress,No,,S9 guest judge; exact ep TBD
AP0262,Joan Smalls,US09,,GUEST_JUDGE,fashion model,No,,S9 guest judge; exact ep TBD
AP0263,Todrick Hall,US09,US09E12,WERKROOM_GUEST,choreographer,No,,ep12 non-mainstage guest
AP0264,Christina Aguilera,US10,US10E01,GUEST_JUDGE,singer,No,,
AP0265,Courtney Love,US10,US10E03,GUEST_JUDGE,musician/actress,No,,
AP0266,Nico Tortorella,US10,US10E03,GUEST_JUDGE,actor,No,,
AP0267,Logan Browning,US10,US10E04,GUEST_JUDGE,actress,No,,
AP0268,Tisha Campbell,US10,US10E04,GUEST_JUDGE,actress,No,,
AP0269,Billy Eichner,US10,US10E08,GUEST_JUDGE,comedian,No,,
AP0270,Andrew Rannells,US10,US10E08,GUEST_JUDGE,actor,No,,
AP0271,Todrick Hall,US10,US10E08,WERKROOM_GUEST,choreographer,No,,
AP0272,Abbi Jacobson,US10,US10E09,GUEST_JUDGE,comedian (Broad City),No,,
AP0273,Ilana Glazer,US10,US10E09,GUEST_JUDGE,comedian (Broad City),No,,
AP0274,Stephen Colbert,US10,US10E09,MAINSTAGE_GUEST,TV host,No,,
AP0275,Randy Rainbow,US10,US10E09,MAINSTAGE_GUEST,comedian,No,,
AP0276,Miles Heizer,US10,US10E10,GUEST_JUDGE,actor,No,,
AP0277,Lizzo,US10,US10E10,GUEST_JUDGE,singer,No,,
AP0278,Anthony Padilla,US10,US10E10,WERKROOM_GUEST,social media personality (makeover),No,,
AP0279,Chester See,US10,US10E10,WERKROOM_GUEST,social media personality (makeover),No,,
AP0280,Frankie Grande,US10,US10E10,WERKROOM_GUEST,social media personality (makeover),No,,
AP0281,Kingsley,US10,US10E10,WERKROOM_GUEST,social media personality (makeover),No,,
AP0282,Raymond Braun,US10,US10E10,WERKROOM_GUEST,social media personality (makeover),No,,
AP0283,Tyler Oakley,US10,US10E10,WERKROOM_GUEST,social media personality (makeover),No,,
AP0284,Shania Twain,US10,US10E05,GUEST_JUDGE,singer,No,,S10 guest judge
AP0285,Halsey,US10,US10E02,GUEST_JUDGE,singer,No,,S10 guest judge
AP0286,Kate Upton,US10,US10E07,GUEST_JUDGE,model,No,,S10 guest judge
AP0287,Kumail Nanjiani,US10,US10E06,GUEST_JUDGE,actor/comedian,No,,S10 guest judge
AP0288,Emily V. Gordon,US10,US10E06,GUEST_JUDGE,writer,No,,S10 guest judge
AP0289,Padma Lakshmi,US10,US10E02,GUEST_JUDGE,TV host,No,,S10 guest judge
AP0290,Audra McDonald,US10,US10E07,GUEST_JUDGE,actress/singer,No,,S10 guest judge
AP0291,Ashanti,US10,US10E11,GUEST_JUDGE,singer,No,,S10 guest judge
AP0292,Carrie Preston,US10,US10E05,GUEST_JUDGE,actress,No,,S10 guest judge
AP0293,Lena Dunham,US10,US10E11,GUEST_JUDGE,writer/actress,No,,S10 guest judge
AP0294,Andy Cohen,US10,US10E02,MAINSTAGE_GUEST,TV host - special appearance,No,,S10
AP0295,Cheyenne Jackson,US10,US10E11,MAINSTAGE_GUEST,actor - special appearance,No,,S10
AP0296,Miley Cyrus,US11,US11E01,GUEST_JUDGE,singer,No,,
AP0297,Adore Delano,US11,US11E01,MAINSTAGE_GUEST,former contestant - premiere guest,Yes,Q0062,
AP0298,Delta Work,US11,US11E01,MAINSTAGE_GUEST,former contestant - premiere guest,Yes,Q0027,
